Plot,Subquadrat,Tree Number,Species Code,Circumference (cm),Conifer or Deciduous,Elevation (m),GPS Latitude,GPS Longitude,Date,,SORT BY elevation_m,
LRFP,F,3,Aspen,35,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,I,3,Aspen,38,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,B,4,Aspen,39.1,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,D,3,Aspen,40,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,G,1,Aspen,43,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,D,1,Aspen,44,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,B,2,Aspen,46,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,C,3,NS,47,Conifer,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,D,2,Aspen,56,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,C,1,Aspen,60,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,C,4,Aspen,63,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,C,2,Aspen,64,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,A,2,Aspen,69,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,B,3,Aspen,74,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,E,1,Aspen,74,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,A,1,Aspen,81,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
LRFP,F,1,Aspen,83,Deciduous,1116,46.3319167°,007.0017333°,5/1/2015,,"1,116.00",
