plot,elevation_m,latitude,longitude
BEFP,1478,46.3464194,007.0083028
BEFP1,1478,46.3464194,007.0083028
BEFP2,1478,46.3464194,007.0083028
BGFP,1270,46.3335278,007.0099861
BPFP,1703,46.3446389,006.9945306
BRFP1,1419,46.3408500,007.0017472
BRFP2,1419,46.3408500,007.0017472
CRFP,1362,46.3352167,006.9971000
DPFP,1205,46.3415472,007.0277333
LAFP,542,46.3208694,7.002772
LRFP,1116,46.3319167,007.0017333
LSFP,1213,46.3369111,007.0197667
PDFP,667,46.3213639,006.9958694
REFP,933,46.3261333,006.99955
RIFP,1902,46.3513417,006.9991917
SOFP,1844,46.34956,006.99915
STFP,1277,46.338396,7.019926
TTFP,0,46.3659972,007.0071917
VDFP,1000,46.3420278,007.0326389
