transect_code,tree_species_code,tree_foilage_strategy,tree_plot_code,subquadrat,tree_label,circumfrence_cm,tree_elevation_m,tree_latitude,tree_longitude,measurement_date
ab_lets1,we,deciduous,befp,H,4,49,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,uc,evergreen,befp,G,1,148,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,uc,evergreen,befp,F,6,144,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sp,evergreen,befp,C,1,116,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,F,9,87,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,D,5,56,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,G,2,75,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,C,6,60,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,F,7,66,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sm,deciduous,befp,F,8,142,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,A,2,132,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,A,3,84,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,C,3,100,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,D,1,48,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,E,1,122,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,A,1,84,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,B,3,55,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,B,2,48,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,sf,evergreen,befp,C,5,74,1478,46.3464194,7.0083028,2017-10-10
ab_lets1,ns,evergreen,befp,A,4,60,1478,46.3464194,7.0083028,2017-10-10
