transect_code,plot_code,plot_name,elevation_m,plot_slope,plot_aspect,latitude,longitude
ab_lets1,befp,BEFP,1478,,,46.3464194,7.0083028
ab_lets1,befp1,BEFP1,1478,,,46.3464194,7.0083028
ab_lets1,befp2,BEFP2,1478,,,46.3464194,7.0083028
ab_lets1,bgfp,BGFP,1270,,,46.3335278,7.0099861
ab_lets1,bpfp,BPFP,1703,,,46.3446389,6.9945306
ab_lets1,brfp1,BRFP1,1419,,,46.34085,7.0017472
ab_lets1,brfp2,BRFP2,1419,,,46.34085,7.0017472
ab_lets1,crfp,CRFP,1362,,,46.3352167,6.9971
ab_lets1,dpfp,DPFP,1205,,,46.3415472,7.0277333
ab_lets1,lafp,LAFP,542,,,46.3208694,7.002772
ab_lets1,lrfp,LRFP,1116,,,46.3319167,7.0017333
ab_lets1,lsfp,LSFP,1213,,,46.3369111,7.0197667
ab_lets1,pdfp,PDFP,667,,,46.3213639,6.9958694
ab_lets1,refp,REFP,933,,,46.3261333,6.99955
ab_lets1,rifp,RIFP,1902,,,46.3513417,6.9991917
ab_lets1,sofp,SOFP,1844,,,46.34956,6.99915
ab_lets1,stfp,STFP,1277,,,46.338396,7.019926
ab_lets1,ttfp,TTFP,0,,,46.3659972,7.0071917
ab_lets1,vdfp,VDFP,1000,,,46.3420278,7.0326389
