elevation,aspen,b,ba,birch,broad-leaved lime,ch,dead,ea,eb,eb budburst,fm,ha,holly,la,larch,ma,maple,ns,ro,sb,sf,sm,small-leaved lime,sp,spruce,spruce bush,st,uc,ud,unknown,wa,wb,we
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
667,0,0,0,0,1,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,10,2,1,0,0,0,0,11,5,10,0,0,0
1000,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,7,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
1116,24,0,0,0,0,11,1,13,0,0,0,1,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,1,14,0,0
1205,0,0,0,0,0,0,1,2,7,0,0,0,0,5,0,0,3,6,1,1,12,1,0,0,6,0,0,2,2,11,2,0,0
1213,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,30,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0
1270,0,0,1,0,0,0,0,0,2,0,1,0,0,5,0,0,0,10,0,0,3,2,0,0,0,0,0,0,0,0,8,0,0
1277,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,26,0,0,6,3,0,0,0,0,0,0,0,0,0,5,1
1362,0,0,0,2,0,0,1,0,1,1,1,1,1,2,1,0,0,11,0,2,6,2,0,0,2,0,0,0,0,0,2,1,0
1478,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,33,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1703,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,5,11,5,0,0,0,0,0,0,0,1,0,0,0
1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
