elevation,ba,ch,ea,eb,eh,ey,fm,ha,hb,la,li,nm,ns,sf,sm,so,sp,uc,ud,unknown,wa,wb,we,wf
667,3,0,0,10,0,1,0,0,0,0,1,0,5,17,0,0,4,1,0,0,3,0,0,0
933,0,0,0,21,0,0,0,0,0,1,0,0,3,20,0,0,2,0,9,0,0,1,0,0
1116,0,0,6,26,0,0,0,3,0,0,0,1,20,5,0,0,0,0,0,3,1,0,0,9
1205,0,1,0,11,0,0,1,0,0,0,0,0,11,9,0,0,0,0,5,0,2,0,0,0
1213,0,0,0,0,0,0,0,0,0,0,0,2,22,0,1,0,1,7,16,52,0,0,0,0
1270,3,0,5,0,1,0,27,1,0,0,0,0,0,0,8,1,0,0,5,0,3,0,0,0
1277,0,0,4,16,0,0,0,0,5,0,0,4,8,14,0,0,0,6,3,0,0,0,0,0
1362,0,2,2,2,1,0,2,0,0,1,0,0,11,4,6,0,0,0,1,0,0,0,0,0
1419,0,0,2,0,0,0,0,0,0,14,0,2,22,44,6,0,1,0,1,1,0,0,0,0
1478,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,1,27,1,36,0,0,0,0
1703,0,0,0,0,0,0,0,0,0,0,0,0,19,25,1,0,8,0,0,0,0,0,0,0
1844,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,0,1,0,0,1,1,0,1,0
