elevation,ba,ea,eb,eh,ey,fb,l,la,ld,nm,np,ns,sf,sm,so,sp,u,uc,ud,unknown,wa,wb,we
542,0,0,13,0,8,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0
667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0
933,0,4,0,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
1116,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,15,0,2,1,0
1270,1,9,6,1,0,0,0,0,0,16,0,0,0,6,17,0,0,0,22,2,0,0,1
1277,0,5,1,0,0,1,0,0,0,1,0,0,27,4,0,1,0,0,1,0,1,0,0
1362,0,3,1,0,0,0,0,0,0,1,1,7,6,7,0,1,0,1,3,0,0,1,0
1478,0,0,0,0,0,0,1,16,0,0,0,11,9,6,0,1,0,2,0,0,0,0,1
1703,0,0,0,0,0,0,0,0,0,0,0,33,2,2,0,0,0,0,0,0,0,0,0
1844,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
